,Unnamed: 0,text,keys,BIO_tag
147,147,"In this article we consider an extension to the equations of poroelasticity by modelling the flow of a slightly compressible single phase fluid in a viscoelastic porous medium. The constitutive equations therefore allow for the presence of viscoelastic relaxation effects in the porous media (but not the fluid). Fully discrete numerical schemes are derived based on a lagged and non-lagged backward Euler time stepping method applied to a mixed and Galerkin finite element spatial discretization. We show that the lagged scheme is unconditionally stable and give an optimal a priori error bound for it. Furthermore, this scheme is practical and useful in the sense that it can be easily implemented in existing poroelasticity software because the coupling between the viscous stresses and pressures and the elasticity and flow equations is ‘lagged’ by one time step. The required additional coding therefore takes the form of extra ‘right hand side loads’ together with some updating subroutines for the viscoelastic internal variables, but the solver and assembly engines remain intact. This idea of lagging has been used before for nonlinearly viscoelastic diffusion problems in [3,24] but, of course, is not new. Lagging in numerical schemes is discussed more widely by Lowrie in [14].
","['assembly engines', 'constitutive equations', 'coupling', 'extension to the equations of poroelasticity', 'flow equations', 'fluid', 'Fully discrete numerical schemes', 'lagged and non-lagged backward Euler time stepping method', 'mixed and Galerkin finite element spatial discretization', 'modelling the flow of a slightly compressible single phase fluid in a viscoelastic porous medium', 'nonlinearly viscoelastic diffusion problems', 'numerical schemes', 'porous media', 'single phase fluid', 'updating subroutines', 'viscoelastic porous medium', 'viscoelastic relaxation effects']",O O O O O O B I O O B I B I B I B I B B O O B I O O O O B I O B O O O O B I B O O O O O B I O O B I O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O B I O O O O O O O O O O O O O O O O O O O O B O O B O O O O B O O O O O O O O O O O B B I O O O O O O O O B O O O O O O O O
148,148,"The choice of the interpolation functions and support point coordinates for the gradient field is crucial to ensure stability and accuracy of the formulation. For example, nodal integration and NS-FEM are unstable involving the appearance of spurious low-energy modes. They need non-physical penalty energy functions that stabilize them. The articles [2,28] numerically verify the stability, convergence and accuracy of several W2 variants including new elements which can be constructed based on the idea of assumed continuous deformation gradients. For first order hexahedral elements, [2,28] found good results for the element types C3D_8N_27C and C3D_8N_8I. The first is defined by 27 support points and a second order tensor-product interpolation of the deformation gradient by Lagrange polynomials. The latter element type is defined by 16 support points with 8 points being coincident with the nodes and 8 additional points in the element interior. Among the tested first order tetrahedra, the nodally integrated tetrahedron with an additional bubble mode in the gradients was found to be most accurate. It turned out to be even the most efficient with respect to computing time in explicit analysis [28] because the enlarged critical time step compensates the slightly increased numerical cost per restoring force assembly. Fig. 1 illustrates the positions of support points for various CAG and SFEM formulations.
","['C3D_8N_27C', 'C3D_8N_8I', 'CAG and SFEM formulations', 'computing time in explicit analysis', 'continuous deformation gradients', 'element types', 'first order hexahedral elements', 'first order tetrahedra', 'interpolation functions', 'nodal integration and NS-FEM', 'nodally integrated tetrahedron', 'non-physical penalty energy functions', 'numerically verify the stability, convergence and accuracy of several W2 variants', 'second order tensor-product interpolation', 'stability and accuracy of the formulation', 'stabilize them', 'support point coordinates for the gradient field', 'W2 variants']",O O B O B I O O O O O B I O O O B I O O O O O O O O O O B I O O B O O O O B I B B I B O O O O O O O O O O O O B I O O B I O O O O O B O B I O O B O O O O B O O B I B I O O O O O B O O O O O B O O O O O O O O O O O B O O O B I O B I O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O B O O B I O
149,149,"Some non-standard couplings, which should be determined here, could also be studied in the standard e+e− option of a linear collider. Therefore, it is worth while to compare the potential power of the two options. As far as the parameter αγ1 is concerned, the γγ collider does not allow for its determination, while it could be determined at e+e−. The second tt̄γ coupling αγ2, which is proportional to the real part of the top-quark electric dipole moment,44See [23] taking into account that the operators OuB, OqB and OqW are redundant. can be measured here. It should be recalled that energy and polar-angle distributions of leptons and b-quarks in e+e− colliders are sensitive only to the imaginary part of the electric dipole moment,55However, it should be emphasized that there exist observables sensitive also to the real part of the top-quark electric dipole moment, see [24]. while here the real part could be determined. For the measurement of γγH couplings, e+e− colliders are, of course, useless, while here, for the bX final state both αh1 and αh2 could be measured. In the case of the decay form factor αd measurement, the e+e− option seems to be a little more advantageous, especially if e+e− polarization can be tuned appropriately [25].
","['coupling αγ2', 'e+e−', 'e+e− colliders', 'e+e− option', 'e+e− polarization', 'he real part of the top-quark electric dipole moment', 'imaginary part of the electric dipole moment', 'linear collider', 'measurement of γγH couplings', 'non-standard couplings', 'parameter αγ1', 'polar-angle distributions of leptons and b-quarks', 'potential power', 'standard e+e− option', 'the bX final state', 'the decay form factor αd measurement', 'αh1 and αh2 could be measured', 'γγ collider']",O B O O O O O O O O B B B O O B O O O O O O O O B B O B O O O O O B B O O O B B O O O O O O O O O O O O O O O B O O O O O B I B I O O O O O O B O O O O O O O O O O O O O O B I O O B O O O O O B B I B I O O O O O O O O O O O B I B I O O O O O B I O O B B I O B O O O O O O O B I O O B I O O B O B I B B B O O O O O O O O O B O O O O O
150,150,"Our procedure does not address the issue of how parameterizations can vary for different flow types. However, Edeling et al.  [9] carried out separate calibrations for a set of 13 boundary-layer flows. They summarized this information across calibrations by computing Highest Posterior-Density (HPD) intervals, and subsequently represent the total solution uncertainty with a probability-box (p-box). This p-box represents both parameter variability across flows, and epistemic uncertainty within each calibration. A prediction of a new boundary-layer flow is made with uncertainty bars generated from this uncertainty information, and the resulting error estimate is shown to be consistent with measurement data. This approach is helpful, but it might be extended further by modelling proximity across flows through a distance that would relate to the flow characteristics in order to borrow strength across calibrations instead of splitting the calibrations and then merging the outcomes afterwards. This is a challenging but attractive venue for future research.
","['boundary-layer flow', 'boundary-layer flows', 'flow', 'flows', 'Highest Posterior-Density', 'HPD', 'modelling proximity across flows', 'parameterizations', 'p-box', 'probability-box', 'splitting the calibrations and then merging the outcomes']",O O O O O O O O B O O O O B O O O O O O O O O O O O O O B O O O O O O O B O O O O O O O O O O B O O B O O O O B I O O O O O O O O O O B B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I B O O O O O O O B O O O O O O O O B I O O O O O O O O O O O O
151,151,"Uranium carbide was traditionally used as fuel kernel for the US version of pebble bed reactors as opposed to the German version based on uranium dioxide. For the Generation IV nuclear systems, mixed uranium–plutonium carbides (U, Pu) C constitute the primary option for the gas fast reactors (GFR) and UCO is the first candidate for the very high temperature reactor (VHTR). In the former case the fuel high actinide density and thermal conductivity are exploited in view of high burnup performance. In the latter, UCO is a good compromise between oxides and carbides both in terms of thermal conductivity and fissile density. However, in the American VHTR design, the fuel is a 3:1 ratio of UO2:UC2 for one essential reason, well explained by Olander [2] in a recent publication. During burnup, pure UO2 fuel tends to oxidize to UO2+x. UO2+x reacts with the pyrocarbon coating layer according to the equilibrium:(1)UO2+x + xC → UO2 + xCO
","['actinide', 'burnup', 'carbides', 'fuel', 'fuel kernel', 'gas fast reactors', 'Generation IV nuclear systems', 'GFR', 'mixed uranium–plutonium carbides', 'oxides', 'pebble bed reactors', 'pyrocarbon coating layer', 'UC2', 'UCO', 'UO2', 'UO2 fuel', 'UO2+x', '(U, Pu) C', 'Uranium carbide', 'uranium dioxide', 'very high temperature reactor', 'VHTR', 'xC', 'xCO']",B O O O O O B O O O O O O B I O O O O O O O O O B O O O B I O B I B B B O O O O O O O B I O O O B O O O O O O B I O O O O O O O B I B O O O O O O O O O B O O O O B O O O O O B O B O O O O O O O O O O O O O B O O B O O O O O O O O O O O O O O O O O O O O B O B B O O O O O B O O O B I O O O O O O B O B O B
152,152,"The displacement cascade is a rapid process (of order picoseconds). Further migration of vacancies and SIAs, mainly by diffusion, happens over a timescale of order nanoseconds [17]. This is still short compared to operating times, so is important to consider the equilibrium result of such processes: If the vacancies and SIAs were likely to find their Frenkel partner, recombine, and annihilate, then the metal should essentially return to its original structure; however, if defects instead formed large clusters of a single type this could result in formation of voids, dislocation loops or swelling, possibly weakening the material in the process. Defects can be trapped at grain boundaries or surface, so for an ODS particle to effect the diffusion, there concentration must be such that there are many such particles in each grain.
","['defects', 'diffusion', 'dislocation loops', 'displacement cascade', 'grain', 'migration of vacancies and SIAs', 'ODS particle', 'structure', 'swelling', 'voids']",O B O O O O O O O O O B I O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O B B O O B O O O O O O O O O O O O B O O O O O O B O O O O B O O O O O O O O O O O O O O
153,153,"A principle of high-throughput materials science is that one does not know a priori where the value of the data lies for any specific application. Trends and insights are deduced a posteriori. This requires efficient interfaces to interrogate available data on various levels. We have developed a simple WEB-based API to greatly improve the accessibility and utility of the AFLOWLIB database [14] to the scientific community. Through it, the client can access calculated physical properties (thermodynamic, crystallographic, or mechanical properties), as well as simulation provenance and runtime properties of the included systems. The data may be used directly (e.g., to browse a class of materials with a desired property) or integrated into higher level work-flows. The interface also allows for the sharing of updates of data used in previous published works, e.g., previously calculated alloy phase diagrams [19–31], thus the database can be expanded systematically.
","['AFLOWLIB database', 'alloy phase diagrams', 'browse a class of materials with a desired property', 'efficient interfaces to interrogate available data on various levels', 'higher level work-flows', 'high-throughput materials science', 'improve the accessibility and utility of the AFLOWLIB database', 'interface', 'physical properties', 'runtime properties', 'sharing of updates of data', 'simulation provenance', 'thermodynamic, crystallographic, or mechanical properties', 'WEB-based API']",O O B I O O O O O O O O O O O O O O O O O O O O O O B I O O O O O B O O B I B O O O O O O O O O O B O O B B I O O O O B O B O O O O O O O O O B I O B O O B I O O B O O O B I O O O O O O O O B I O O O O O O O O
154,154,"We describe three ways to solve the reflection problem. The first way is very simple (Section  4). We exploit the consequences of shifting the semi-infinite row by one period (to the right or left). In effect, we regard the semi-infinite row as two scatterers, one of which is another semi-infinite row. This idea goes back to a series of papers by Millar in the 1960s, starting with  [2]. He used it for several two-dimensional grating problems. A similar approach was used for layered media by Shenderov  [3]. In our one-dimensional context, we obtain a quadratic equation for R; we show how to select the correct solution. We remark that there has been much recent interest in related two-dimensional waveguide problems; see, for example,  [4–6], where the shifting-by-one-period idea is again employed, leading to a quadratic equation for a certain operator.
","['layered media', 'obtain a quadratic equation', 'quadratic equation', 'reflection problem', 'semi-infinite row', 'shifting-by-one-period idea', 'shifting the semi-infinite row', 'two-dimensional grating problems', 'two-dimensional waveguide problems', 'two scatterers', 'waveguide problems']",O O O O O O B O O O O O O O O O O O O O B I B O O O O O O O O O O O O B O O B O O O O O O B O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O B O O O O O O O O O B I B O O O O O O O O O O O O O O O O O O O O O B B O O O O O O B O O O O O O B O O O O
155,155,"Analyzing the significance of macroscopical dynamic monitoring of new add construction land, considering the influence of various factors, this paper selected Yinchuan Plain for a typical experimental zone, built knowledge base of remote sensing images interpretation, used multi-temporal remote sensing images, carried through interactive interpretation of change patterns of new add construction land and field validation. Interpretation results of 20m scale remote sensing image show that the minimum spot average area of new construction land change monitored by 20m scale remote sensing data is about 6 acres. The ability 20m scale remote sensing data identifies new increased construction land change further strengthens, shows in the recognition of the smallest spot area reduces and the recognition accuracy increases.","['construction land', 'field validation', 'identifies new increased construction land', 'interactive interpretation of change patterns', 'Interpretation', 'knowledge base', 'multi-temporal remote sensing images', 'recognition', 'recognition of the smallest spot area', 'remote sensing data', 'remote sensing image', 'remote sensing images', 'remote sensing images interpretation', 'Yinchuan Plain']",O O O O O O B O O O O O O O O B O O O O O O O B O B I O B B I O O B I O O B O O B O B O O O B I O O O O O O B O O O O O B I O O O O O O O O O B I O B I B O O O O O B I O O O B O O
156,156,"Apache Pig is a platform for creating MapReduce workflows with Hadoop. These workflows are expressed as directed acyclic graphs (DAGs) of tasks that exist at a conceptually higher level than their implementations as series of MapReduce jobs. Pig Latin is the procedural language used for building these workflows, providing syntax similar to the declarative SQL commonly used for relational database systems. In addition to standard SQL operations, Pig can be extended with user-defined functions (UDFs) commonly written in Java. We adopted Pig for our implementation of the correlator to speed up development time, allow for ad hoc workflow changes, and to embrace the Hadoop community׳s migration away from MapReduce towards more generalized DAG processing (Mayer, 2013). Specifically, in the event that future versions of Hadoop are optimized to support paradigms other than MapReduce, Pig scripts could take advantage of these advances without recoding, whereas explicit Java MapReduce jobs would need to be rewritten.
","['Apache Pig', 'DAG processing', 'DAGs', 'directed acyclic graphs', 'Hadoop', 'Java MapReduce', 'MapReduce', 'MapReduce workflows', 'Pig', 'Pig Latin', 'Pig scripts', 'SQL', 'SQL operations', 'UDFs', 'user-defined functions']",B B O O O O O B O O O O O O O O B I O O O O O O O O O O O O O O O O O B O B O O O O O O O O O O O O O O O O B O O O O O O O O O O B O B O O O O B O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O B O O O O B O O O B O O O O O O O O O O O B O O O O O O O B B O O O O O O O O O O O B B O O O O O O
157,157,"Zirconium alloys are used as fuel cladding in pressurised and boiling water nuclear reactors. As such these materials are exposed to a large number of environmental factors that will promote degradation mechanisms such as oxidation. At high burn-ups, i.e. extended service life, oxidation and the associated hydrogen pick-up can be a limiting factor in terms of fuel efficiency and safety. The oxidation kinetics for many zirconium alloys are cyclical, demonstrating a series of approximately cubic kinetic curves separated by transitions [1–5]. These transitions are typified by a breakdown in the protective character of the oxide and are potentially linked to a number of mechanical issues. Understanding how these issues influence oxidation is a key to developing a full mechanistic understanding of the corrosion process.
","['corrosion process', 'degradation mechanisms', 'developing a full mechanistic understanding of the corrosion process', 'fuel', 'hydrogen pick-up', 'nuclear reactors', 'oxidation', 'oxide', 'Understanding how these issues influence oxidation', 'zirconium alloys', 'Zirconium alloys']",B O O O O B O O O O O O B O O O O O O O O O O O O O O B O O O O O O O O O O O B O O B O O O O O O O B O O O O B O O O B O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O B I B O O O B I B O
158,158,"In this article we propose a method which adopts a different approach to the generation procedure outlined above and that helps to address the problem of generating high-order meshes for high Reynolds number flows. The method is conceptually simple, cheap to implement and does not require a dense linear boundary-layer mesh. It is based on the use of an isoparametric [17] or, in general, a transfinite interpolation [18] where a high-order coarse boundary-layer prismatic mesh is subdivided into either prisms or tetrahedra using the mapping that defines the coarse high-order prisms. The procedure is also very versatile as it permits meshes with different distributions of y+ to be generated with ease and furthermore, the validity of these meshes is guaranteed if the initial mesh is valid and the polynomial space is chosen appropriately.
","['coarse high-order prisms', 'dense linear boundary-layer mesh', 'generating high-order meshes for high Reynolds number flows', 'generation procedure', 'high-order coarse boundary-layer prismatic mesh', 'high-order meshes', 'initial mesh', 'isoparametric [17] or, in general, a transfinite interpolation', 'meshes', 'polynomial space', 'prisms', 'Reynolds number flows', 'subdivided into either prisms or tetrahedra', 'tetrahedra']",O O O O O B O O O B O O O O B O O O O O O O O O O O B B B I B I O O O O O O O O O O O O O B B I O O O O O O O O O B I B I B I O O O B B B I O O B I B I B O O O O O O B B O O O O O O O O O O B O O O O O O O O O O O O O O O O B O O O O B O O O O O B O O O O
159,159,"FR schemes are similar to nodal DG schemes, which are arguably the most popular type of unstructured high-order method (at least in the field of computational aerodynamics). Like nodal DG schemes, FR schemes utilise a high-order (nodal) polynomial basis to approximate the solution within each element of the computational domain, and like nodal DG schemes, FR schemes do not explicitly enforce inter-element solution continuity. However, unlike nodal DG schemes, FR methods are based solely on the governing system in a differential form. A description of the FR approach in 1D is presented below. For further information see the original paper of Huynh  [2].
","['approximate the solution', 'computational aerodynamics', 'computational domain', 'enforce inter-element solution continuity', 'FR approach', 'FR methods', 'FR schemes', 'high-order', 'nodal', 'nodal DG schemes', 'unstructured high-order method']",B O O O O B I O O O O O O O O B B O O O O O O B O O B I O B O O O B O O O O B I O O O O B O O O B I O B O O O O B I O O O B I O B O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O
160,160,"Thermal performance of the smart window has been predicted under different simulated parameters namely, direct solar radiation intensity, ambient temperature, water inlet temperature, and water flow rate. Fig. 11 shows a sample of temperature distribution of all window components at a plane passing through the horizontal window segment based on simulation physical conditions listed on Table 3. Simulation data has been collected from all successive simulations. The effect of increasing direct solar radiation on both solar cells and water temperatures is shown in Fig. 12. Three different simulations were performed assuming direct solar radiation intensities of 400, 600, and 800W/m2 incident on the window’s front pane with set ambient temperature, water inlet temperature and water flow rate of respectively 273K, 283K and 0.01kg/s. Water temperature was found to increase by 5°C as it passed through the tube, carrying the solar cells, from left to right for the bottom most units at 800W/m2 of direct incident solar radiation.
","['ambient temperature', 'direct solar radiation intensity', 'increasing direct solar radiation on both solar cells and water temperatures', 'simulated parameters', 'Simulation data', 'simulation physical conditions', 'simulations', 'solar cells', 'solar radiation', 'Thermal performance of the smart window', 'tube', 'water flow rate', 'water inlet temperature', 'window components', 'window’s front pane']",B I B O O O O O B O O B B I O B O B I O B I O O O O O O O O O B O O O O O O O B O O B I O O O O B O O O O O O O O O O B B B I B I B O O O O O O O O B O O O B B I O O O O O B I O O O B O B I O B I O O O O O O O O O O O O O O O O O B O B I O O O O O O O O O O B O B O
161,161,"AA 2024-T3 aluminium alloy is widely used for aerospace applications due to its high strength to weight ratio and high damage tolerance that result from copper and magnesium as the principal alloying elements and appropriate thermomechanical processing. The microstructure of the alloy is relatively complex and a number of compositionally-distinct phases have been identified [1]. Although possessing favourable mechanical properties, the alloy is relatively susceptible to corrosion and generally requires surface treatment in practical applications. The corrosion behaviour of the alloy is particularly affected by the presence of the intermetallic particles due to their differing potentials with respect to the alloy matrix [2–9]. Copper-containing second phase particles at the alloy surface are particularly detrimental to the corrosion resistance as they provide preferential cathodic sites [2,10]. One of the principle types of second phase particle that is important to the corrosion behaviour of the alloy is the S phase (Al2CuMg) particle [1,11]. Dealloying of S phase particles, which may account for ∼60% of the constituent particles in AA2024 alloys [11], is commonly observed when the alloy is exposed to an aggressive environment. The particles are considered as important initiation sites for severe localized corrosion in the alloy [11–22]. The dealloying of the S phase particles and the resulting enrichment of copper result in a decrease of the Volta potential with respect to the matrix and hence the dealloyed particles become active cathodic sites [23–25].
","['AA2024 alloys', 'AA 2024-T3 aluminium alloy', 'aerospace applications', 'Al2CuMg', 'alloy', 'alloying elements', 'alloy matrix', 'cathodic sites', 'compositionally-distinct phases', 'constituent particles', 'copper', 'Copper-containing second phase particles', 'corrosion', 'corrosion behaviour', 'corrosion resistance', 'dealloyed particles', 'dealloying', 'decrease of the Volta potential', 'enrichment', 'intermetallic particles', 'magnesium', 'particles', 'second phase particle', 'S phase', 'S phase particles', 'surface treatment', 'thermomechanical processing']",B I B O O O O B O O O O O O O O O O O O O O O O B O B O O B O O O B O O O B O O O O O O B O O O O O O O O O O B O O O O B O O O B O O O O O B O B O O O O O B B O O O O O O O O B O O B B I B O B B O O O O B O O O O O B O O O O O B I O O O O O B O B O B I O O O O B I B O O O O O B B O B O O O O O O B O O O O O O O B O O O O O O O O O B O B O O B I B I B O O B I B O O O B I O O O O O O O B B O O B O O
162,162,"This phase was completed in 2005. Previous contracts had been procured with the contractor providing the detailed design. For this system the design was undertaken by Mott MacDonald. It was developed by looking at the systems installed previously and calculating what was actually required to achieve cathodic protection of the piers. This resulted in a significant reduction in the number of zones and monitoring probes. The varying amounts of steelwork in the beams had previously lead to up to 5 zones per beam, with multiple layers of mesh to achieve the design current density. On review of the data the operating current density was similar in all zones and so this was reduced to a single zone per beam. The encapsulation was susceptible to ASR and contained post tensioning and so it was decided to use a galvanic system based on Galvashield CC anodes from Fosroc. Our design did not include an option to allow depolarization of the galvanic system, but the contractor supplied one, such that the anodes could be remotely disconnected. The control unit was from Electrotech CP and operated via a broadband connection provided by the contractor.
","['ASR', 'broadband connection', 'cathodic protection of the piers', 'data', 'depolarization of the galvanic system', 'detailed design', 'encapsulation', 'galvanic system', 'Galvashield CC anodes', 'looking at the systems installed previously and calculating', 'multiple layers of mesh', 'significant reduction in the number of zones and monitoring probes', 'systems installed previously', 'varying amounts of steelwork']",O O O O O O O O O O O O O B O O O O O O O O O O O O O O B I B I O O O O O O O B I O O O O B I O O B I O O O O O O O O O O O B I O O O O O O O O B I O O O O O O O O O O O O O O O O O B O O O B I O O O O O O O O O O B O O O B I O O O O O O O O O O O O B I B O O O O O O O O O O O O O O O O O O O O O O B O O O O
163,163,"The particular phase field model we employ is an extension of [6], and is based on the three dimensional thermal phase field model of [7] and two dimensional thermal-solutal phase field model of [8]. One feature of the physical problem is that it is purely dissipative, or entropy increasing, as all natural relaxational phenomena are. The resulting PDEs are of Allen–Cahn [9] and Carn–Hilliard type [10]. That is to say, the model involves time derivatives of the three fields coupled to forms involving variational derivatives of some functional – typically the free energy functional. As the dendrite grows the free energy reduces monotonically with time but never achieves equilibrium if the domain boundary is far from the dendrite. Although we have listed some of the difficult aspects of this model, the relaxational aspect is typically an asset and results in stable numerical schemes: there is no convection, for example (at least in the absence of flow in the melt).
","['dendrite', 'free energy functional', 'functional', 'melt', 'numerical schemes', 'PDEs', 'phase field model', 'three dimensional thermal phase field model', 'time derivatives of the three fields coupled to forms involving variational derivatives', 'two dimensional thermal-solutal phase field model']",O O B I O O O O O O O O O O O B I B I O O O B I B I O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O B I B I O B O O B I O O B O B I O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O
164,164,"In this Letter, we present results of a relativistic calculation of decay constants in the framework of full Salpeter equation. The full Salpeter equation is a relativistic equation describing a bound state. Since this method has a very solid basis in quantum field theory, it is very good in describing a bound state which is a relativistic system. In a previous paper [16], we solved the instantaneous Bethe–Salpeter equation [17], which is also called full Salpeter equation [18]. After we solved the full Salpeter equation, we obtained the relativistic wave function of the bound state. We used this wave function to calculate the average kinetic energy of the heavy quark inside a heavy meson in 0− state, and obtained values which agree very well with recent experiments. We also found there that the relativistic corrections are quite large and cannot be ignored [16]. In this Letter we use this method to predict the values of decay constants of heavy mesons in 0− state.
","['Bethe–Salpeter equation', 'calculate the average kinetic energy', 'describing a bound state', 'framework of full Salpeter equation', 'full Salpeter equation', 'heavy meson', 'heavy mesons', 'heavy quark', 'obtained values', 'predict the values of decay constants', 'quantum field theory', 'relativistic calculation of decay constants', 'relativistic corrections are quite large', 'relativistic equation', 'relativistic system', 'relativistic wave function of the bound state', 'Salpeter equation', 'solved the full Salpeter equation', 'solved the instantaneous Bethe–Salpeter equation', 'use this method', 'wave function']",O O O O O B I O O B I B B O O B B O O B O B I O O O O O O O O B I O O O O O O B I O O O B O O O O O O B I B O O O O O O B B O O O O B I B B O O B I B B I O O O B I O B I O B O O B O O O O O B I O O O O O O O O O O O O B I O O O O O O O O O B I O O B I O B O O O O
165,165,"With ever increasing computer performance, simulations in much larger systems have become feasible. However, full-atomistic approaches to polymer crystallization need extremely large computer power even in the case of simple polymers, and appropriate modeling or coarse-graining of the system is imperative. From a series of work on the development of coarse-grained models for polymers, Mayer and Muller-Plathe have build up a model of poly(vinyl alcohol) (PVA) for studying early stage of crystallization. They investigated the emergence of crystalline order from the isotropic melt by rapid quenching [51,52]. They could reproduce many elementary processes of homogenous nucleation that showed good correspondence with experiments and other simulations, in temperature dependence of lamella thickness, structure of fold surface, etc. In their work, they neglected long-range force (van der Waals attraction) to accelerate computation. Their model has the energy contribution due to intrachain interactions only and the dominant driving force for crystallization is entropic, which seems to ignore dominant driving force for polymer crystallization in conventional sense. However, their work is reminiscent of the classical solid–liquid transition in systems of repulsive spherical atoms [53] and poses an intriguing problem as to the intrinsic driving force for polymer crystallization.
","['appropriate modeling', 'classical solid–liquid transition', 'coarse-grained models', 'coarse-graining of the system', 'crystalline', 'crystallization', 'fold surface', 'full-atomistic approaches', 'homogenous nucleation', 'intrachain interactions', 'isotropic melt', 'lamella', 'liquid', 'polymer', 'polymer crystallization', 'polymers', 'poly(vinyl alcohol)', 'PVA', 'rapid quenching', 'repulsive spherical atoms', 'simple polymers', 'simulations', 'solid']",O O O O O B O O O O O O O O B O O B B O O O O O O O O B B O B O O B I O O O O O O O O O B O O B O O O O O O O O B O O O O O O O O O O B O O B O O B O O O O O O O O B O O O O O O O O O B O O O B O O B O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O B O O O O O O O O O O B B O O O O O O O O B I O O O B I O O O O O O O O O O O O O B O
166,166,"We study sequences of optimal walks of a growing length in weighted digraphs, or equivalently, sequences of entries of max-algebraic matrix powers with growing exponents. It is known that these sequences are eventually periodic when the digraphs are strongly connected. The transient of such periodicity depends, in general, both on the size of digraph and on the magnitude of the weights. In this paper, we show that some bounds on the indices of periodicity of (unweighted) digraphs, such as the bounds of Wielandt, Dulmage–Mendelsohn, Schwarz, Kim and Gregory–Kirkland–Pullman, apply to the weights of optimal walks when one of their ends is a critical node.
","['digraph', 'digraphs are strongly connected', 'sequences of entries of max-algebraic matrix powers with growing exponents', 'sequences of optimal walks of a growing length in weighted digraphs', '(unweighted) digraphs']",O O B I B O O B I O O O O O O B I O O O O B I O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O B B O O O O O O O O O O O O O O O O O O O O O
167,167,"Room temperature powder X-ray diffraction (XRD) was performed on a PANalytical Empyrean diffractometer. The obtained XRD patterns were analysed with STOE Win XPOW software in order to determine phase purity, the crystal structure and the cell parameters of the samples. Thermogravimetric analysis (TGA) was performed using a Netzsch STA 449C instrument equipped with Proteus thermal analysis software. The TGA studies were carried out under reducing conditions (5% H2/Ar) from room temperature to 900°C, in order to determine the weight change of the perovskite during the reduction. The microstructure of the samples' surface was analysed using a JEOL JSM-6700 field emission 74 scanning electron microscope (FEG-SEM). The total conductivity of the samples was measured using a conventional four-terminal method. Bar samples were prepared by calcination at 1300°C for 1h. Gold wire contacts were attached to the bars, which then were cured at 850°C for 1h. The conductivity of the samples was measured under a redox cycle at 900°C. Low oxygen partial pressure was achieved by using a continuous flow of 5% H2/Ar.
","['5% H2/Ar', 'calcination', 'cell parameters', 'conductivity', 'crystal structure', 'FEG-SEM', 'field emission 74 scanning electron microscope', 'flow', 'four-terminal method', 'Gold wire contacts', 'H2/Ar', 'Low oxygen partial pressure', 'Netzsch STA 449C instrument', 'PANalytical Empyrean diffractometer', 'perovskite', 'phase purity', 'powder X-ray diffraction', 'Proteus thermal analysis software', 'redox cycle', 'reducing conditions', 'STOE Win XPOW software', 'TGA', 'Thermogravimetric analysis', 'total conductivity', 'weight change', 'XRD', 'XRD patterns']",O O B I O O O O O O B I O O O B O O O O B I O O O O O B O O B O O O B O O O O B I O O O O O B I O O O B I O O B O O O O O B O O O O O O O O O O O O O B O O O B O O O O O O O O O O O O O O O B I O O O B B O O O O O O O O B O O O O O O B O O O O B I O O O O O O O O O O O O O O O B O O O O O O O B O O O B I O O O O O O O B O B O
168,168,"This research traces the implementation of an information system in the form of ERP modules covering tenant and contract management in a Chinese service company. Misalignments between the ERP system specification and user needs led to the adoption of informal processes within the organisation. These processes are facilitated within an informal organisational structure and are based on human interactions undertaken within the formal organisation. Rather than to attempt to suppress the emergence of the informal organisation the company decided to channel the energies of staff involved in informal processes towards organisational goals. The company achieved this by harnessing the capabilities of what we term a hybrid ERP system, combining the functionality of a traditional (formal) ERP installation with the capabilities of Enterprise Social Software (ESS). However the company recognised that the successful operation of the hybrid ERP system would require a number of changes in organisational design in areas such as reporting structures and communication channels. A narrative provided by interviews with company personnel is thematised around the formal and informal characteristics of the organisation as defined in the literature. This leads to a definition of the characteristics of the hybrid organisation and strategies for enabling a hybrid organisation, facilitated by a hybrid ERP system, which directs formal and informal behaviour towards organisational goals and provides a template for future hybrid implementations.
","['Enterprise Social Software', 'ERP installation', 'ERP modules', 'ERP system', 'ESS', 'hybrid ERP system']",O O O O O O O O O O O O O B O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B B O O O O O O O O B O O O O O B I O O O O O O O O O O O O B B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O B O O O O B B O O O O O O O O O O O O O O O O B O
