,text,keywords
135,improvingaswellasevaluatingtheperformanceofhighperformancecomputingapplicationsbymigratingthemtocloudenvironmentsarewidelyconsideredascriticalissuesinthefieldofhighperformanceandcloudcomputinghoweverpoornetworkperformanceheterogeneousanddynamicenvironmentsaresomeseriesofpitfallsforexecutionofhpcapplicationsincloudthispaperproposesnewapproachtoimprovetheperformanceandscalabilityofhpcapplicationsonhpccloudtheevidencefromourapproachpointssignificantimprovementinspeedupandscaleupwiththeresponserateofmorethan20percentparallelefﬁciencyonthecloudincomparisontodedicatedhpcclusterwestatethattheec2cloudsystemisfeasibleplatformfordeployingondemandsmallsizedhpcapplications,"[""Amazon's HPC Cloud"", 'Cloud', 'Cloud environments', 'deploying on-demand, small sized HPC applications', 'EC2 Cloud system', 'execution of HPC applications in Cloud', 'heterogeneous and dynamic environments', 'high performance and Cloud computing', 'High Performance Computing', 'HPC', 'HPC applications', 'HPC cluster', 'Improving as well as evaluating the performance', 'migrating them to Cloud environments', 'parallel efﬁciency', 'poor network performance', 'proposes a new approach to improve the performance and scalability of HPC applications', 'response rate', 'scale up', 'speed up']"
136,therearesomerelevantstudiesoninformationdisseminationintransportationsystemsusingsimulationsonecategoryofstudieslookathoweitherlocalinformationabouttheorglobalinformationtheentireaffectstheglobalnetworkperformanceourapproachisdifferentinthesensethatweinvestigatetheimpactofinformationontheglobalnetworkperformancedependingonthefractionofpeoplethatreceiveinformationweanalysewhatistheeffectofrealtimeinformationdisseminationandexplainwhythiseffectappearsinformationisdisseminatedinrealtimeandcontainsglobaldetailsabouthowcongestedtheroadsarethisapproachisimportantasitgivesinsightsontheimpactthatmassiveuseofrealtimeinformationcanhaveontrafficthiscanbeusefulforbuildingmoreintelligenttrafficcontrolmechanismswhereinformationissteering,"['analyse what is the effect of real time information dissemination', 'building more intelligent traffic control mechanisms', 'information dissemination in transportation systems', 'investigate the impact of information on the global network performance', 'massive use of real-time information', 'simulations']"
137,asparticularcaseofsurveydataweusedtheiutahwaterwhichwasimplementedbyparticipatingresearchersfromseveralutahinstitutionsofhighereducationtheobjectivesofthesurveyweretodocumenthowrepresentativecrosssectionofadultpopulationthinksaboutwaterissuesthesurveyincludedthreecoreblocksofquestionsperceptionsoftheadequacyoflocalwatersuppliesperceptionsofthequalityoflocalwaterresourcesandconcernaboutrangeofwaterandnonwaterissuesnumberofadditionalquestionscapturedinformationaboutfamiliaritywithwatercostlawnwateringbehaviorsparticipationinwaterbasedrecreationanddemographicattributessupplementarymaterialtothispaperincludesdocumentwithdescriptionofthedatasetaswholedocumentcontainingthecompletesurveyinstrumentandtwodatafilescontainingtheresultsandanassociatedcodebooksection,"['associated codebook', 'awn-watering behaviors', 'complete survey instrument', 'concern about a range of water and non-water issues', 'demographic attributes', 'description of the dataset', 'familiarity with water cost', 'iUTAH “Utah Water Survey,”', 'participation in water based recreation', 'perceptions of the adequacy of local water supplies', 'perceptions of the quality of local water resources', 'Supplementary material', 'survey', ""Utah's adult population thinks about water issues""]"
138,theobservedconductivityofa2femoo6srwaslinkedtopotentialdoubleexchangemechanismwithconductionbetweenmodoubleexchangemechanismsasproposedbyzenerpositthatelectrontransferbetweenionsindifferentoxidationstatesmaybefacilitatediftheelectrondoesnothavetoalteritsspinstatereplacementofmowithfeinthismechanismwouldbeexpectedtoresultinreductionoftheconductivitythroughreductionoftheavailablepercolationpathwaysunlessdelocalisationoffeelectronsthroughexchangecouldalsooccurdoubleexchangemechanismshavebeenobservedpreviouslyformixedvalentironinironoxidesandasironisknowntoexistinmixedvalentstateforca2xsrxfemoo6thisprovidesplausibleexplanationfortheobservedmetallicconductivitybandstructurecalculationsandmossbauerspectroscopycouldbeutilisedtofurtherelucidatetheconductionmechanismforthesecompoundshoweverthisisoutsidethescopeofthis,"['A2FeMoO6–δ', 'Ba', 'Band structure calculations', 'Ca', 'Ca2–xSrxFeMoO6–δ', 'compounds', 'conduction mechanism', 'delocalisation of Fe electrons', 'double exchange mechanism', 'Double exchange mechanisms', 'Double-exchange mechanisms', 'electron', 'electron transfer', 'Fe', 'Fe2+-O-Fe3+', 'Fe2+-O-Fe3+ exchange', 'Fe3+-O-Mo-O-Fe2+', 'Fe electrons', 'ions', 'iron', 'iron in iron oxides', 'metallic conductivity', 'Mo', 'Mossbauer spectroscopy', 'observed conductivity', 'oxidation', 'percolation pathways', 'reduction of the available percolation pathways', 'reduction of the conductivity', 'Replacement', 'Sr']"
139,thepipesunderpressureinthercsorconnectedtorcsareusuallymadeofausteniticorausteniticferriticstainlesssteelmostconnectionsareweldedthepipesmaybeexposedtovariousdegradationphenomenahazardsmechanicalfatiguethermalfatiguestresscorrosioneventscreeninginthedatabasesshowedtotalof116eventsrelatedtocracksand83tothreemaincausesforfailurewereidentifiednamelyfatiguecorrosionandthepresenceofmanufacturingdefectshumanfactorinduceddefectsprovedtohavelittleimpactlessthanofthecasescouldbeattributedtooperationerrorsfatiguewasfoundbeinginducedbyseveralfactorsexcessivevibrationpressureshocksandthethermalregimeofoperatingthepipeaswellasbycombinationsofthesefactorscorrosionwasinducedinmostofthecasesbynonappropriatechoiceofalloyswhilenottakingintoaccountthechemicalparametersofthefluidinsidepipesmanufacturingdefectsmostlydealtwithweldingrelatedproblemsanddeviationfromthedesigndocumentationduringpostweldheat,"['alloys', 'austenitic or austenitic & ferritic stainless steel', 'Event screening', 'fluid', 'pipe', 'pipes', 'RCS']"
140,inobstacledetectionisbasedoninverseperspectivemappingandhomographyobstacleclassificationisbasedonfuzzyneuralnetworktheestimationofthevanishingpointreliesonfeatureextractionstrategythemethodexploitsthegeometricalrelationsbetweentheelementsinthescenesothatobstaclecanbedetectedtheestimatedhomographyoftheroadplanebetweensuccessiveimagesisusedforimagealignmentnewfuzzydecisionfusionmethodwithfuzzyattributionforobstacledetectionandclassificationapplicationisdescribedthefuzzydecisionfunctionmodifiesparameterswithautoadaptedalgorithmtogetbetterclassificationprobabilityitisshownthatthemethodcanachievebetterclassificationresult,"['auto-adapted algorithm', 'classification', 'detected', 'elements', 'estimated homography', 'estimation of the vanishing point', 'feature extraction strategy', 'fuzzy attribution for obstacle detection and classification application', 'fuzzy decision fusion method', 'fuzzy neural network', 'geometrical relations', 'image alignment', 'images', 'inverse perspective mapping and homography', 'obstacle', 'Obstacle classification', 'Obstacle detection', 'obstacle detection and classification application', 'road plane', 'scene', 'The fuzzy decision function']"
141,whileimpedancespectroscopyisquitecommonmethodtoinvestigatemixedconductingthinfilmelectrodesoxygentracerexperimentsareoftenperformedonbulksamplesrecentlyseveraliedpmeasurementsofmixedconductingcathodematerialswerepublishedwiththeoxidefilmsbeingdepositedoninsulatingsubstrateshowevertothebestoftheknowledgenostudysofarreportedexperimentswithbothtechniquesbeingappliedonthesamefilmsatthesametemperaturethiscontributionreportstheresultsofstudyapplyingeisandiedptooneandthesamethinfilminordertogetcomplementaryresultsontheresistivecontributionsoftheoxygenreductionkineticsonsuchfilmsaselectricalmeasurementsrequireanoxygenionconductoryttriastabilizedzirconiawasusedassubstrateforlscfilmswithtwodifferentgrainsizesquantitativematerialparametersarededucedfrombothtypesofexperimentsandcomparisonofthedataallowedtestingtheappropriatenessofanalysis,"['analysis models', 'applying EIS and IEDP to one and the same La0.6Sr0.4CoO3−δ (LSC) thin film', 'appropriateness of analysis models', 'bulk samples', 'comparison of the data', 'EIS', 'electrical measurements', 'films', 'grain', 'IEDP', 'IEDP measurements', 'impedance spectroscopy', 'insulating substrates', 'La0.6Sr0.4CoO3−δ', 'LSC', 'LSC films', 'mixed conducting cathode materials', 'mixed conducting thin film electrodes', 'oxide films', 'oxygen', 'oxygen ion conductor', 'oxygen reduction kinetics', 'oxygen tracer experiments', 'Quantitative material parameters', 'resistive contributions of the oxygen reduction kinetics', 'thin film', 'YSZ', 'yttria stabilized zirconia']"
142,thispaperhashighlightedbandoffrequenciesoutsidetheconventionaloperationrangeandclosetoelectricalresonanceofaneddycurrentprobewherethemagnitudeofimpedancesnrreachespeakthesnrofscansofthreeslotsofvaryingdepthwereenhancedbyfactorofuptofromthesnrmeasuredat1mhzthisisresultofdefectdecouplingresonanceshifteffectandisreferredtoasthenearelectricalresonancesignalenhancementphenomenonnersefrequencyoperationhassignificantpotentialforectinspectionandopensuprangeofinvestigativepossibilitieswithinthisinvestigationonlythemagnitudeoftheelectricalimpedancehasbeenanalyzedanimmediateextensionofthisinvestigationwillbetoconsiderphaseinformationanddeterminewhethersimilarexploitablenerseeffect,"['defect-decoupling resonance-shift effect', 'ECT inspection', 'eddy current probe', 'electrical impedance', 'electrical resonance of an eddy current probe', 'highlighted a band of frequencies', 'impedance SNR', 'near electrical resonance signal enhancement', 'NERSE', 'SNR']"
143,recentlytogetherwithstructuralefficiencypassengersafetyisalsoanimportantissueinapplicationofmaterialtotransportationindustrieshencethecrashworthinessparametersareintroducingtopredictthecapabilityofstructuretopreventthemassivedamageandprotectthepassengerintheeventofcrashcrashworthinessparametersforvariousthinwalledtubesmadefrommetalorfibreresincompositesindifferentgeometrieshavebeenstudiedcriticaldifferenceoftubularcompositesfailuremodescomparedwithmetallicisthebrittlecollapseinadditionincompositestubularfailuremodesareinvolvedwithmicrocrackingdevelopmentdelaminationfibrebreakageetcinsteadofplasticdeformationimplementationofcompositematerialsinthefieldofcrashworthinessisattributedtohullwhoin80sand90softhelastcenturystudiedextensivelythecrushingbehaviouroffibrereinforcedcompositematerialhefoundthatthecompositematerialsabsorbedhighenergyinthefaceofthefracturesurfaceenergymechanismratherthanplasticdeformationasobservedformetalsthisobservationhasinspiredotherstofurtherinvestigationaboutcrashworthinesscharacteristicsofcompositematerialsstudieshaveexaminedtheaxialcrushingbehaviouroffibrereinforcedtubesfibreglasstubespvctubesandcarbonfibrereinforcedplastictubes,"['axial crushing behaviour', 'brittle collapse', 'carbon fibre reinforced plastic', 'carbon fibre reinforced plastic (CFRP) tubes', 'CFRP', 'composite materials', 'composites', 'crashworthiness characteristics', 'crashworthiness parameters', 'Crashworthiness parameters', 'crushing behaviour', 'delamination', 'fibre breakage', 'fibreglass tubes', 'fibre reinforced composite material', 'fibre-reinforced tubes', 'fibre/resin composites', 'fracture surface energy', 'Implementation of composite materials', 'metal', 'metals', 'micro-cracking development', 'passenger safety', 'plastic deformation', 'prevent the massive damage', 'protect the passenger', 'PVC tubes', 'structural efficiency', 'transportation industries', 'tubular composites failure', 'tubular failure modes']"
144,inthebagmodelandinlinearorharmonicoscillatorconfiningpotentialsthefirstexcitedstateliesabovetheloweststatemakingthepredictedropermassheavierthanthelightestnegativeparitybaryonmasspairwisespindependentinteractionsmustreversethelevelorderingasmentionedearliercolorspininteractionsfailinthiswhileflavorspininteractionsproducethedesiredeffectsincetheq3colorwavefunctionisantisymmetrictheflavorspinorbitalwavefunctionistotallysymmetricforallquarksinanstatetheflavorspinwavefunctionistotallysymmetricallbyitselfandleadstothemostattractiveflavorspininteractionifonequarkisinstatetheorbitalwavefunctionismixedsymmetryandsoistheflavorspinwavefunctionandtheflavorspininteractionislessattractiveinthesymmetriccaseoneobtainsmasssplittingsherewehaveapproximatedtheasstatewithtotalquarkspin,"['bag model', 'color-spin interactions', 'flavor-spin interaction', 'flavor-spin interactions', 'flavor-spin-orbital wave function', 'flavor-spin wave function', 'level ordering', 'mass splittings', 'orbital wave function', 'oscillator confining potentials', 'Pairwise spin-dependent interactions', 'q3 color wave function', 'quark', 'quarks', 'quark spin']"
145,absorptioneventsthroughthechargedcurrentreactionsthereissomeuncertaintyinpredictingeventratesfortheseprocesseswhichariseduetothenuclearmodeldependenciesoftheabsorptioncrosssectionandthetreatmentofthecoulombdistortionofelectroninthefieldoftheresidualnucleusthenuclearabsorptioncrosssectionforthechargedcurrentneutrinoreactionsin40arrelevanttosupernovaneutrinoenergieswasfirstcalculatedbyandbahcalletforfermitransitionsleadingtoisobaricanaloguestateatinlaterormandetusedshellmodeltocalculatethefermiandgamowtellertransitionsinthesecalculationsfermifunctionwasusedtotakeintoaccountthecoulombeffectsinrecentpaperbuenoetmakeuseofcalculationbymartinezpinedoetwhouseshellmodelforfermiandgamowtellertransitionsandcontinuumrandomphaseapproximationforforbiddentransitionstocalculatetheabsorptioncrosssectionsinthiscalculationthecoulombdistortionoftheproducedelectronistreatedwithhybridmodelwherefermifunctionisusedforlowerelectronenergiesandmodifiedeffectivemomentumapproximationforhigherelectroninrecentworkbhattacharyaethavemeasuredthefermiandgamowtellertransitionstrengthsleadingtoexcitedstatesuptoinandobtainedtheneutrinoabsorptioncrosssectionforsupernovaneutrinosin,"['4.38\xa0MeV in 40K', 'Absorption events through the charged current reactions', 'calculation by Martinez-Pinedo et al.', 'continuum random phase approximation', 'Coulomb effects', 'CRPA', 'electron', 'Fermi and Gamow–Teller transition strengths', 'IAS', 'isobaric analogue state', 'MEMA', 'modified effective momentum approximation', 'neutrino absorption cross section', 'nuclear absorption cross section for the charged current neutrino reactions', 'nuclear model dependencies', 'positron', 'predicting e−(e+) event rates', 'residual nucleus', 'shell model', 'shell model for Fermi and Gamow–Teller transitions', 'supernova neutrino energies', 'the absorption cross sections', 'the Fermi and Gamow–Teller transitions', 'treatment of the Coulomb distortion']"
146,thefluenceofeachcapsulewasdeterminedbyusingactivationmonitorsetsthesemonitorsetsconsistofdifferentmetalwirepiecesthathaveanactivationreactionatspecificenergyrangethedifferentactivationenergiesarechoseninsuchwaythatthespectrumcanbereconstructedinbodexeachcapsulecontainedfluxmonitorsetontheseenfromtheandoneonthefrontsidepositionedatthecentralheightofthecapsulesadditionallyonedetectorwasplacedatthetopandoneatthebottomresultingintotalofmonitorsetsperlegthefluenceineachcapsulewasdeterminedastheaveragebetweenthetwofluxmonitorlocatedineachcapsulethesetshavebeenanalysedbydeterminingtheactivationofeachwirepiecewhichindicatesthefluenceofspecificenergyrangeshowthevaluesofthefluencesforthetwocapsulescontaining,"['activation', 'activation monitor sets.', 'capsule', 'capsules', 'detector', 'determining the activation of each wire piece', 'fluence', 'fluence of each capsule', 'fluences', 'flux monitor', 'flux monitor set', 'metal wire pieces', 'molybdenum', 'monitor', 'monitor sets', 'wire piece']"
147,inthisarticleweconsideranextensiontotheequationsofporoelasticitybymodellingtheflowofslightlycompressiblesinglephasefluidinviscoelasticporousmediumtheconstitutiveequationsthereforeallowforthepresenceofviscoelasticrelaxationeffectsintheporousmedianotthefullydiscretenumericalschemesarederivedbasedonlaggedandnonlaggedbackwardeulertimesteppingmethodappliedtomixedandgalerkinfiniteelementspatialdiscretizationweshowthatthelaggedschemeisunconditionallystableandgiveanoptimalpriorierrorboundforitfurthermorethisschemeispracticalandusefulinthesensethatitcanbeeasilyimplementedinexistingporoelasticitysoftwarebecausethecouplingbetweentheviscousstressesandpressuresandtheelasticityandflowequationsisbyonetimesteptherequiredadditionalcodingthereforetakestheformofextrahandsidetogetherwithsomeupdatingsubroutinesfortheviscoelasticinternalvariablesbutthesolverandassemblyenginesremainintactthisideaoflagginghasbeenusedbeforefornonlinearlyviscoelasticdiffusionproblemsinbutofcourseisnotnewlagginginnumericalschemesisdiscussedmorewidelybylowriein,"['assembly engines', 'constitutive equations', 'coupling', 'extension to the equations of poroelasticity', 'flow equations', 'fluid', 'Fully discrete numerical schemes', 'lagged and non-lagged backward Euler time stepping method', 'mixed and Galerkin finite element spatial discretization', 'modelling the flow of a slightly compressible single phase fluid in a viscoelastic porous medium', 'nonlinearly viscoelastic diffusion problems', 'numerical schemes', 'porous media', 'single phase fluid', 'updating subroutines', 'viscoelastic porous medium', 'viscoelastic relaxation effects']"
148,thechoiceoftheinterpolationfunctionsandsupportpointcoordinatesforthegradientfieldiscrucialtoensurestabilityandaccuracyoftheformulationforexamplenodalintegrationandnsfemareunstableinvolvingtheappearanceofspuriouslowenergymodestheyneednonphysicalpenaltyenergyfunctionsthatstabilizethemthearticlesnumericallyverifythestabilityconvergenceandaccuracyofseveralw2variantsincludingnewelementswhichcanbeconstructedbasedontheideaofassumedcontinuousdeformationgradientsforfirstorderhexahedralelementsfoundgoodresultsfortheelementtypesandthefirstisdefinedby27supportpointsandsecondordertensorproductinterpolationofthedeformationgradientbylagrangepolynomialsthelatterelementtypeisdefinedby16supportpointswithpointsbeingcoincidentwiththenodesandadditionalpointsintheelementinterioramongthetestedfirstordertetrahedrathenodallyintegratedtetrahedronwithanadditionalbubblemodeinthegradientswasfoundtobemostaccurateitturnedouttobeeventhemostefficientwithrespecttocomputingtimeinexplicitanalysisbecausetheenlargedcriticaltimestepcompensatestheslightlyincreasednumericalcostperrestoringforceassemblyfigillustratesthepositionsofsupportpointsforvariouscagandsfem,"['C3D_8N_27C', 'C3D_8N_8I', 'CAG and SFEM formulations', 'computing time in explicit analysis', 'continuous deformation gradients', 'element types', 'first order hexahedral elements', 'first order tetrahedra', 'interpolation functions', 'nodal integration and NS-FEM', 'nodally integrated tetrahedron', 'non-physical penalty energy functions', 'numerically verify the stability, convergence and accuracy of several W2 variants', 'second order tensor-product interpolation', 'stability and accuracy of the formulation', 'stabilize them', 'support point coordinates for the gradient field', 'W2 variants']"
149,somenonstandardcouplingswhichshouldbedeterminedherecouldalsobestudiedinthestandardoptionoflinearcolliderthereforeitisworthwhiletocomparethepotentialpowerofthetwooptionsasfarastheparameterαγ1isconcernedtheγγcolliderdoesnotallowforitsdeterminationwhileitcouldbedeterminedatthesecondcouplingαγ2whichisproportionaltotherealpartofthetopquarkelectricdipoletakingintoaccountthattheoperatorsouboqbandoqwareredundantcanbemeasuredhereitshouldberecalledthatenergyandpolarangledistributionsofleptonsandquarksincollidersaresensitiveonlytotheimaginarypartoftheelectricdipoleitshouldbeemphasizedthatthereexistobservablessensitivealsototherealpartofthetopquarkelectricdipolemomentseewhileheretherealpartcouldbedeterminedforthemeasurementofγγhcouplingscollidersareofcourseuselesswhilehereforthebxfinalstatebothαh1andαh2couldbemeasuredinthecaseofthedecayformfactorαdmeasurementtheoptionseemstobelittlemoreadvantageousespeciallyifpolarizationcanbetuned,"['coupling αγ2', 'e+e−', 'e+e− colliders', 'e+e− option', 'e+e− polarization', 'he real part of the top-quark electric dipole moment', 'imaginary part of the electric dipole moment', 'linear collider', 'measurement of γγH couplings', 'non-standard couplings', 'parameter αγ1', 'polar-angle distributions of leptons and b-quarks', 'potential power', 'standard e+e− option', 'the bX final state', 'the decay form factor αd measurement', 'αh1 and αh2 could be measured', 'γγ collider']"
150,ourproceduredoesnotaddresstheissueofhowparameterizationscanvaryfordifferentflowtypeshoweveredelingcarriedoutseparatecalibrationsforsetof13boundarylayerflowstheysummarizedthisinformationacrosscalibrationsbycomputinghighestposteriordensityintervalsandsubsequentlyrepresentthetotalsolutionuncertaintywithprobabilityboxthisboxrepresentsbothparametervariabilityacrossflowsandepistemicuncertaintywithineachcalibrationpredictionofnewboundarylayerflowismadewithuncertaintybarsgeneratedfromthisuncertaintyinformationandtheresultingerrorestimateisshowntobeconsistentwithmeasurementdatathisapproachishelpfulbutitmightbeextendedfurtherbymodellingproximityacrossflowsthroughdistancethatwouldrelatetotheflowcharacteristicsinordertoborrowstrengthacrosscalibrationsinsteadofsplittingthecalibrationsandthenmergingtheoutcomesafterwardsthisischallengingbutattractivevenueforfuture,"['boundary-layer flow', 'boundary-layer flows', 'flow', 'flows', 'Highest Posterior-Density', 'HPD', 'modelling proximity across flows', 'parameterizations', 'p-box', 'probability-box', 'splitting the calibrations and then merging the outcomes']"
151,uraniumcarbidewastraditionallyusedasfuelkernelfortheusversionofpebblebedreactorsasopposedtothegermanversionbasedonuraniumdioxideforthegenerationivnuclearsystemsmixeduraniumplutoniumcarbidesconstitutetheprimaryoptionforthegasfastreactorsanducoisthefirstcandidatefortheveryhightemperaturereactorintheformercasethefuelhighactinidedensityandthermalconductivityareexploitedinviewofhighburnupperformanceinthelatterucoisgoodcompromisebetweenoxidesandcarbidesbothintermsofthermalconductivityandfissiledensityhoweverintheamericanvhtrdesignthefuelisratioofuo2uc2foroneessentialreasonwellexplainedbyolanderinrecentpublicationduringburnuppureuo2fueltendstooxidizetoreactswiththepyrocarboncoatinglayeraccordingtotheequilibrium,"['actinide', 'burnup', 'carbides', 'fuel', 'fuel kernel', 'gas fast reactors', 'Generation IV nuclear systems', 'GFR', 'mixed uranium–plutonium carbides', 'oxides', 'pebble bed reactors', 'pyrocarbon coating layer', 'UC2', 'UCO', 'UO2', 'UO2 fuel', 'UO2+x', '(U, Pu) C', 'Uranium carbide', 'uranium dioxide', 'very high temperature reactor', 'VHTR', 'xC', 'xCO']"
152,thedisplacementcascadeisrapidprocessorderfurthermigrationofvacanciesandsiasmainlybydiffusionhappensovertimescaleofordernanosecondsthisisstillshortcomparedtooperatingtimessoisimportanttoconsidertheequilibriumresultofsuchprocessesifthevacanciesandsiaswerelikelytofindtheirfrenkelpartnerrecombineandannihilatethenthemetalshouldessentiallyreturntoitsoriginalstructurehoweverifdefectsinsteadformedlargeclustersofsingletypethiscouldresultinformationofvoidsdislocationloopsorswellingpossiblyweakeningthematerialintheprocessdefectscanbetrappedatgrainboundariesorsurfacesoforanodsparticletoeffectthediffusionthereconcentrationmustbesuchthattherearemanysuchparticlesineach,"['defects', 'diffusion', 'dislocation loops', 'displacement cascade', 'grain', 'migration of vacancies and SIAs', 'ODS particle', 'structure', 'swelling', 'voids']"
153,principleofhighthroughputmaterialsscienceisthatonedoesnotknowprioriwherethevalueofthedataliesforanyspecificapplicationtrendsandinsightsarededucedposteriorithisrequiresefficientinterfacestointerrogateavailabledataonvariouslevelswehavedevelopedsimplewebbasedapitogreatlyimprovetheaccessibilityandutilityoftheaflowlibdatabasetothescientificcommunitythroughittheclientcanaccesscalculatedphysicalpropertiescrystallographicormechanicalaswellassimulationprovenanceandruntimepropertiesoftheincludedsystemsthedatamaybeuseddirectlytobrowseclassofmaterialswithdesiredorintegratedintohigherlevelworkflowstheinterfacealsoallowsforthesharingofupdatesofdatausedinpreviouspublishedworkspreviouslycalculatedalloyphasediagramsthusthedatabasecanbeexpanded,"['AFLOWLIB database', 'alloy phase diagrams', 'browse a class of materials with a desired property', 'efficient interfaces to interrogate available data on various levels', 'higher level work-flows', 'high-throughput materials science', 'improve the accessibility and utility of the AFLOWLIB database', 'interface', 'physical properties', 'runtime properties', 'sharing of updates of data', 'simulation provenance', 'thermodynamic, crystallographic, or mechanical properties', 'WEB-based API']"
154,wedescribethreewaystosolvethereflectionproblemthefirstwayisverysimpleweexploittheconsequencesofshiftingthesemiinfiniterowbyoneperiodtherightorineffectweregardthesemiinfiniterowastwoscatterersoneofwhichisanothersemiinfiniterowthisideagoesbacktoseriesofpapersbymillarinthe1960sstartingheuseditforseveraltwodimensionalgratingproblemssimilarapproachwasusedforlayeredmediabyinouronedimensionalcontextweobtainquadraticequationforweshowhowtoselectthecorrectsolutionweremarkthattherehasbeenmuchrecentinterestinrelatedtwodimensionalwaveguideproblemsseeforwheretheshiftingbyoneperiodideaisagainemployedleadingtoquadraticequationforcertain,"['layered media', 'obtain a quadratic equation', 'quadratic equation', 'reflection problem', 'semi-infinite row', 'shifting-by-one-period idea', 'shifting the semi-infinite row', 'two-dimensional grating problems', 'two-dimensional waveguide problems', 'two scatterers', 'waveguide problems']"
155,analyzingthesignificanceofmacroscopicaldynamicmonitoringofnewaddconstructionlandconsideringtheinfluenceofvariousfactorsthispaperselectedyinchuanplainfortypicalexperimentalzonebuiltknowledgebaseofremotesensingimagesinterpretationusedmultitemporalremotesensingimagescarriedthroughinteractiveinterpretationofchangepatternsofnewaddconstructionlandandfieldvalidationinterpretationresultsof20mscaleremotesensingimageshowthattheminimumspotaverageareaofnewconstructionlandchangemonitoredby20mscaleremotesensingdataisaboutacrestheability20mscaleremotesensingdataidentifiesnewincreasedconstructionlandchangefurtherstrengthensshowsintherecognitionofthesmallestspotareareducesandtherecognitionaccuracyincreases,"['construction land', 'field validation', 'identifies new increased construction land', 'interactive interpretation of change patterns', 'Interpretation', 'knowledge base', 'multi-temporal remote sensing images', 'recognition', 'recognition of the smallest spot area', 'remote sensing data', 'remote sensing image', 'remote sensing images', 'remote sensing images interpretation', 'Yinchuan Plain']"
156,apachepigisplatformforcreatingmapreduceworkflowswithhadooptheseworkflowsareexpressedasdirectedacyclicgraphsoftasksthatexistatconceptuallyhigherlevelthantheirimplementationsasseriesofmapreducejobspiglatinistheprocedurallanguageusedforbuildingtheseworkflowsprovidingsyntaxsimilartothedeclarativesqlcommonlyusedforrelationaldatabasesystemsinadditiontostandardsqloperationspigcanbeextendedwithuserdefinedfunctionscommonlywritteninjavaweadoptedpigforourimplementationofthecorrelatortospeedupdevelopmenttimeallowforadhocworkflowchangesandtoembracethehadoopmigrationawayfrommapreducetowardsmoregeneralizeddagprocessingspecificallyintheeventthatfutureversionsofhadoopareoptimizedtosupportparadigmsotherthanmapreducepigscriptscouldtakeadvantageoftheseadvanceswithoutrecodingwhereasexplicitjavamapreducejobswouldneedtobe,"['Apache Pig', 'DAG processing', 'DAGs', 'directed acyclic graphs', 'Hadoop', 'Java MapReduce', 'MapReduce', 'MapReduce workflows', 'Pig', 'Pig Latin', 'Pig scripts', 'SQL', 'SQL operations', 'UDFs', 'user-defined functions']"
157,zirconiumalloysareusedasfuelcladdinginpressurisedandboilingwaternuclearreactorsassuchthesematerialsareexposedtolargenumberofenvironmentalfactorsthatwillpromotedegradationmechanismssuchasoxidationathighburnupsextendedservicelifeoxidationandtheassociatedhydrogenpickupcanbelimitingfactorintermsoffuelefficiencyandsafetytheoxidationkineticsformanyzirconiumalloysarecyclicaldemonstratingseriesofapproximatelycubickineticcurvesseparatedbytransitionsthesetransitionsaretypifiedbybreakdownintheprotectivecharacteroftheoxideandarepotentiallylinkedtonumberofmechanicalissuesunderstandinghowtheseissuesinfluenceoxidationiskeytodevelopingfullmechanisticunderstandingofthecorrosion,"['corrosion process', 'degradation mechanisms', 'developing a full mechanistic understanding of the corrosion process', 'fuel', 'hydrogen pick-up', 'nuclear reactors', 'oxidation', 'oxide', 'Understanding how these issues influence oxidation', 'zirconium alloys', 'Zirconium alloys']"
158,inthisarticleweproposemethodwhichadoptsdifferentapproachtothegenerationprocedureoutlinedaboveandthathelpstoaddresstheproblemofgeneratinghighordermeshesforhighreynoldsnumberflowsthemethodisconceptuallysimplecheaptoimplementanddoesnotrequiredenselinearboundarylayermeshitisbasedontheuseofanisoparametricoringeneraltransfiniteinterpolationwherehighordercoarseboundarylayerprismaticmeshissubdividedintoeitherprismsortetrahedrausingthemappingthatdefinesthecoarsehighorderprismstheprocedureisalsoveryversatileasitpermitsmesheswithdifferentdistributionsoftobegeneratedwitheaseandfurthermorethevalidityofthesemeshesisguaranteediftheinitialmeshisvalidandthepolynomialspaceischosen,"['coarse high-order prisms', 'dense linear boundary-layer mesh', 'generating high-order meshes for high Reynolds number flows', 'generation procedure', 'high-order coarse boundary-layer prismatic mesh', 'high-order meshes', 'initial mesh', 'isoparametric [17] or, in general, a transfinite interpolation', 'meshes', 'polynomial space', 'prisms', 'Reynolds number flows', 'subdivided into either prisms or tetrahedra', 'tetrahedra']"
159,frschemesaresimilartonodaldgschemeswhicharearguablythemostpopulartypeofunstructuredhighordermethodleastinthefieldofcomputationallikenodaldgschemesfrschemesutilisehighorderpolynomialbasistoapproximatethesolutionwithineachelementofthecomputationaldomainandlikenodaldgschemesfrschemesdonotexplicitlyenforceinterelementsolutioncontinuityhoweverunlikenodaldgschemesfrmethodsarebasedsolelyonthegoverningsystemindifferentialformdescriptionofthefrapproachin1dispresentedbelowforfurtherinformationseetheoriginalpaperof,"['approximate the solution', 'computational aerodynamics', 'computational domain', 'enforce inter-element solution continuity', 'FR approach', 'FR methods', 'FR schemes', 'high-order', 'nodal', 'nodal DG schemes', 'unstructured high-order method']"
